Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Landline,Official Fax,Official Mobile,Official Email,Official Address,Official Alternate No,Town,Post Code,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
18323,Vostrum Clinic,Nairobi,Nairobi,Kibra,Kibra,Medical Clinic,Non-Governmental Organizations,Kibera,Makina,"Kibera Plaza off Kibera Drive, inside the Toi Market at Makina",KIBRA,Toi Market,0,0,0202696771,,0714866055,ogechi.vincent@yahoo.com,P.O Box 9301,,Nairobi,00300,Vincent Abere,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18344,Afya House Dispensary,Nairobi,Nairobi,Kibra,KNH Golf Course,Dispensary,Ministry of Health,Community,Community,Within Afya House Building,KIBRA,Community,0,0,0202717077,,,,P.O Box 30016,,Nairobi,00200,Winnie,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19621,Afya Medical Clinic (Dandora),Nairobi,Nairobi,Embakasi North,Dandora,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora 41,Dandora 41 near Equity Bank,EMBAKASI NORTH,Dandora 41,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19514,Blessed Medical Clinic,Nairobi,Nairobi,Kibra,Kibra,Medical Clinic,Private Enterprise (Institution),Kibra,Makina,,KIBRA,,0,0,,,,,,,Nairobi,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
21219,Bliss Health Care Limited,Nairobi,Nairobi,Starehe,Starehe,Medical Clinic,Private Practice - General Practitioner,Landmawe,Landmawe,Next To Loco Dispensary,STAREHE,Next To Loco Dispensary,0,0,,,,,,,,,Dr Marion Nduguya,Hospital Director,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
21050,Blissgvs Health Care Pipeline,Nairobi,Nairobi,Embakasi East,Embakasi,Medical Clinic,Private Practice - Clinical Officer,Pipeline,Pipeline,Along pipeline.between Total petrol station and jackmil supermarket,EMBAKASI EAST,Pipeline,0,0,,,0786412321,blissgvspipeline@yahoo.com,P.O Box 40195,0786412331,Nairobi,00100,Faith Mwangi,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12885,Blue House Dispensary,Nairobi,Nairobi,Kamukunji,Eastleigh North,Dispensary,Non-Governmental Organizations,Eastleigh Section I,,Kiboro Primary Juja Rd,KAMUKUNJI,Eastleigh,0,0,0202100591,,,,P.O Box 39719,0202694218,,00623,Peterson Mwaniki,,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
19561,Bodaki Health Centre,Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Private Practice - Medical Specialist,Kangemi,,,WESTLANDS,,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18805,Bodaki Medical Clinic,Nairobi,Nairobi,Dagoretti North,Kawangware,Medical Clinic,Private Practice - Nurse / Midwife,Kawangware,Gatina,,DAGORETTI NORTH,Gatina,4,0,,,0733372014,,,0719888554,,,Boniface Kinyua,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18273,Buruburu Friends Clinic,Nairobi,Nairobi,Embakasi East,Embakasi,Medical Clinic,Non-Governmental Organizations,Embakasi,Tassia,Along  Donholm  Airport Road ,EMBAKASI EAST,Dnnholm,0,0,,,,,,,,,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12888,Buruburu Medical Clinic,Nairobi,Nairobi,Makadara,Makadara,Medical Clinic,Private Enterprise (Institution),Makadara,Makadara,,MAKADARA,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19504,Child Doctor Kenya,Nairobi,Nairobi,Kibra,Woodly,Dispensary,Private Enterprise (Institution),Woodly,Golf Course,Mimosa,KIBRA,Mimosa,0,0,,,,,,,,,,Hospital Director,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
17951,Children Medical Clinic (Kasarani),Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Private Enterprise (Institution),Kasarani,Kasarani,Kasarni -mwiki rd passed Equity Bank next to kmc,KASARANI,kasarani near DC offiices,0,0,,,0721782399,josphinekinanu@yahoo.com,P.O Box 3481,0712225566,Nairobi,00506,Josphine maina,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19589,Chiromo Medical Centre,Nairobi,Nairobi,Westlands,parklands,Medical Clinic,Private Enterprise (Institution),Parklands,,,WESTLANDS,,5,5,,,,,,,,,,,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12909,Dagoretti Approved Dispensary,Nairobi,Nairobi,Dagoretti South,Dagoretti,Dispensary,Ministry of Health,Uthiru/Ruthimitu,Kagondo,,DAGORETTI SOUTH,Dagoretti Centre,0,0,,,,,,,,,Nancy Thuranira,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
20189,Dagoretti Community Dispesary,Nairobi,Nairobi,Dagoretti South,Dagoretti,Dispensary,Non-Governmental Organizations,Ngando,Ngando,Shalom Centre,DAGORETTI SOUTH,Dagoretti Centre,0,0,,,0722835902,,,,,,Mungai,Hospital Director,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19545,Damic Dental X-Ray Services,Nairobi,Nairobi,Starehe,central,Dental Clinic,Private Practice - Unspecified,Central,Central,CBD,STAREHE,City Market,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12911,Dandora (EDARP) Clinic,Nairobi,Nairobi,Embakasi West,Dandora,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat, Dandora , Dandora ,"In Dandora Phase II,  near Dandora I Health Centre",EMBAKASI WEST,Dandora phase II Estate,0,0,,,,,,,,,,,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
17997,Dandora Health Service,Nairobi,Nairobi,Embakasi North,Dandora,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora Phase V,Dandora Phase V Near The Mosque,EMBAKASI NORTH,Dandora Phase V,0,0,,,,,P.O Box 8603,,Nairobi,00300,Florence Ntwiriri,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12913,Dandora I Health Centre,Nairobi,Nairobi,Embakasi North,Embakasi,Health Centre,Local Authority,Dandora,Dandora,At Dandora phase 1 next to Housing offices,EMBAKASI NORTH,Nairobi,0,0,,,,,,,,,Grace W Onyango,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
12912,Dandora II Health Centre,Nairobi,Nairobi,Embakasi North,Dandora,Health Centre,Local Authority,Dandora,Dandora,Dandora 41 Near Post Office,EMBAKASI NORTH,Dandora 41 Market,12,1,,,,,P.O Box 30108,,Nairobi,,Josphine Karami,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
19617,Dandora Medical and Laboratory Services (Kojwang),Nairobi,Nairobi,Embakasi North,Dandora,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora Phase 2,At Dandora bus terminus,EMBAKASI NORTH,Dandora 41,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18220,Dandora Medical Centre,Nairobi,Nairobi,Kasarani,Njiru,Medical Clinic,Private Practice - Unspecified,Dandora,Dandora,Dandora Phase IV opposite Ronald Ngara Private School,KASARANI,Dandora Phase IV,0,0,,,,,P.O Box 71956,,Nairobi,00622,Gladys Mumbi Gicheru,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19982,Dr Kingondu Clinic (Kilimani),Nairobi,Nairobi,Dagoretti North,Kilimani,Medical Clinic,Private Practice - Medical Specialist,,,"New Nairobi Hospital, doctors plaza",DAGORETTI NORTH,,0,0,,,,,,,Nairobi,0100,Dr.Timothy Kingondu,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19568,Dr Kishor J D Medical Centre,Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,Situated along Accra Rd,STAREHE,City Market,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19420,Dr M S Saroya Medical Clinic (Nairobi),Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,Situated along Keekorok Rd (Behind River Rd),STAREHE,,0,0,,,,,,,,,Dr Saroya,Doctor In Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
20106,Dr Maina Ruga Medical Clinic,Nairobi,Nairobi,Starehe,City Centre,Medical Clinic,Private Practice - General Practitioner,City Cenre,Central,Situated at Jubilee Exchange House-6th Flr,STAREHE,,0,0,0202217789,,0722526730,,,,,,Dr Maina Ruga,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19419,Dr Maina Skin Clinic (Ngara),Nairobi,Nairobi,Starehe,Ngara,Medical Clinic,Private Practice - Unspecified,Ngara ,Ngara East,Located near Post Office -Ngara,STAREHE,Ngara Market,0,0,,,,,,,,,Dr Maina,Doctor In Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
